Parameter,Start Timestamp,End Timestamp,Number Missing
Wind direction,2021-06-06 14:00:00,2021-09-01 00:00:00,2075
RH,2021-06-06 14:00:00,2021-09-01 00:00:00,2075
Ppt,2021-06-06 14:00:00,2021-09-01 00:00:00,2075
SWC_20,2019-12-11 10:00:00,2019-12-11 10:00:00,1
SWC_20,2021-06-06 14:00:00,2021-09-01 00:00:00,2075
Wind speed,2021-06-06 14:00:00,2021-09-01 00:00:00,2075
T_10,2021-06-06 14:00:00,2021-09-01 00:00:00,2075
SWC_10,2019-12-11 10:00:00,2019-12-11 10:00:00,1
SWC_10,2021-06-06 14:00:00,2021-09-01 00:00:00,2075
Tair,2021-06-06 14:00:00,2021-09-01 00:00:00,2075
SWC_50,2021-06-06 14:00:00,2021-09-01 00:00:00,2075
T_20,2021-06-06 14:00:00,2021-09-01 00:00:00,2075
T_5,2021-06-06 14:00:00,2021-09-01 00:00:00,2075
Srad,2021-06-06 14:00:00,2021-09-01 00:00:00,2075
T_50,2021-06-06 14:00:00,2021-09-01 00:00:00,2075
SWC_5,2016-08-14 03:00:00,2016-08-14 03:00:00,1
SWC_5,2019-12-11 10:00:00,2019-12-11 10:00:00,1
SWC_5,2021-06-06 14:00:00,2021-09-01 00:00:00,2075
