Station,Target_Feature,Input_Length,Output_Length,Model,MAE,MSE,MAPE
1,Sat_SM_AMSR,24,6,Baseline,0.9283595681190491,1.654996633529663,861.627685546875
1,Sat_SM_AMSR,24,6,Multi-step Linear,0.5994006991386414,0.834743320941925,170.70977783203125
1,Sat_SM_AMSR,24,6,Multi-step Dense,0.6029922366142273,0.847676694393158,188.8407745361328
1,Sat_SM_AMSR,24,6,CNN,0.5951290726661682,0.8447214961051941,183.40826416015625
1,Sat_SM_AMSR,24,6,RNN,0.6243118643760681,0.8970101475715637,344.7413024902344
1,Sat_SM_AMSR,24,6,LSTM,0.610891580581665,0.8695256114006042,274.9031982421875
1,Sat_SM_AMSR,24,6,Autoregressive,0.5895968079566956,0.848701000213623,199.16702270507812
1,Sat_SM_AMSR,24,6,Bi-LSTM,0.603939950466156,0.8694064021110535,276.2315368652344
1,Sat_SM_AMSR,24,6,LSTM_Attention,0.6039011478424072,0.838432252407074,240.53489685058594
1,Sat_SM_AMSR,24,6,BiLSTM_Attention,0.6148031949996948,0.8757884502410889,305.49066162109375
