Station,Model,Features,Offset,MSE,MAE,MAPE,SMAPE,RSE,CORR
Station6,AttentionLSTM,SWC_10,168,0.026938654503744875,0.12564205352201907,1506587838871.4436,54.017270048043486,0.8701742794397582,0.5158173402013071
Station6,Autoregressive,SWC_10,168,0.0285666888746858,0.13669356038495262,1829112866456.5327,58.174827409993725,0.8960830130514915,0.5029114161894948
Station6,Baseline,SWC_10,168,0.034804913242785285,0.1375648795305081,377690626097.9976,57.82144421112647,0.9890962832024561,0.5094282332375137
Station6,LSTM,SWC_10,168,0.026433146055378085,0.12739049622006896,2078969837469.2627,55.106522638993916,0.8619711293946049,0.5155507144221595
Station6,Baseline,SWC_10,168,0.034804913242785285,0.1375648795305081,377690626097.9976,57.82144421112647,0.9890962832024561,0.5094282332375137
Station6,AttentionLSTM,SWC_10,168,0.027689826454574105,0.13174205791897184,2076468752001.4844,56.17767369121732,0.882223067357941,0.495876561742915
Station6,AttentionOnly,SWC_10,168,0.04807750079339946,0.18241914332887688,6348832193642.099,64.94918893509617,1.1624900221852206,nan
Station6,Transformer,SWC_10,168,0.048726692752113776,0.1835088645307415,6394159424318.972,65.09768209332184,1.170312273805571,nan
Station6,MultiheadLSTM,SWC_10,168,0.026735036594225572,0.12019132306566138,1481777564607.5671,52.332350809808894,0.8668794015900348,0.5344103110300094
Station6,Baseline,SWC_10,168,0.034804913242785285,0.1375648795305081,377690626097.9976,57.82144421112647,0.9890962832024561,0.5094282332375137
